"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Chikungunya virus disease","All cases","Reported cases","N","2018","SK","Slovakia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2018","UK","United Kingdom",59.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2019","AT","Austria",17.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2019","BE","Belgium",60.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2019","CZ","Czechia",15.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2019","DE","Germany",87.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2019","EE","Estonia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2019","EL","Greece",2.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2019","ES","Spain",46.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2019","EU_EEA31","EU/EEA",535.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2019","EU28","EU",535.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2019","FI","Finland",14.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2019","FR","France",108.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2019","HR","Croatia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2019","HU","Hungary",5.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2019","IE","Ireland",1.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2019","IT","Italy",25.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2019","LT","Lithuania",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2019","LU","Luxembourg",1.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2019","LV","Latvia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2019","MT","Malta",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2019","NL","Netherlands",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2019","PL","Poland",2.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2019","PT","Portugal",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2019","RO","Romania",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2019","SE","Sweden",58.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2019","SI","Slovenia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2019","SK","Slovakia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2019","UK","United Kingdom",94.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2020","AT","Austria",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2020","BE","Belgium",8.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2020","CZ","Czechia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2020","DE","Germany",26.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2020","EE","Estonia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2020","EL","Greece",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2020","ES","Spain",9.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2020","EU_EEA31","EU/EEA",65.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2020","EU28","EU",65.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2020","FI","Finland",2.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2020","FR","France",13.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2020","HR","Croatia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2020","HU","Hungary",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2020","IE","Ireland",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2020","IT","Italy",6.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2020","LT","Lithuania",0.000000000,""
